,psraid,int_date,area,tz,cregion,state,fips,msa,usr,usr1,strata,lang,sample,form,samptype,spouse,qs1,qs2,qs3a,qs3b,sex,marital,m2,m3,m4,lwp2,lwp3,kids,k2,k3,mom,dad,e3,q1,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q6,q7f1,q8f2,q11,q12,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q16,q17,q20,q20vb,q20_1,q20_2,q20_3,q23,q23vb,q23_1,q23_2,q23_3,q24,q27,q28,q29,q30f1,q31f2,q32,q33,q34,q35,q36,q36vb,q36_1,q36_2,q36_3,q37,q38,q39,q40,q41,q41vb,q41_1,q41_2,q41_3,q42,q43,q44f1,q45,q46f2,q47,net1,net2,e1,e2,ideal,e5,fam1,fam2,fam3,fam4,k4,k5,ownrent,citizen,usborn1a,usborn1b,usborn2,age,educ,hisp,race,relig,chr,born,attend,income,regist,regicert,party,partyln,ideo,pvote04a,milnow,veteran,contact,name,website,usbrn1bo,raceos,religos,q2cnt,recage2,recage3,q3new,gen,netsum,milvet,military,density3,rbcounty,receduc,racethn,weight
312,557,21807,810,e,2,26,26049,22420,S,2,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,2,NA,1,1,2,1,NA,2,2,1,2,9,NA,10,NA,7,NA,NA,9,8,1,1,1,3,2,2,3,1,1,1,1,1,NA,2,1,1,1,1,2,1,3,1,1,1,1,1,3,1,WANTED TO MARRY IS WIFE,21,NA,NA,1,MAKE SURE ALL WOULD WORKOUT,12,NA,NA,1,NA,NA,NA,25,NA,2,2,2,2,1,VIOLENCE IN THE WORLD,28,NA,NA,9,1,1,1,1,DONT WANT TO GET MARRIED,15,NA,NA,4,2,4,2,NA,2,1,2,1,3,1,1,2,2,NA,1,11,2,1,1,1,NA,2,44,3,2,1,2,NA,2,5,6,1,1,3,9,9,2,7,7,1,1,2,                                ,                                ,                                ,3,2,1,1,2,1,2,99,3,1,2,1,19.13
313,558,21807,864,e,3,45,45045,24860,S,2,1,1,1,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,2,1,NA,1,2,2,1,10,NA,10,NA,9,8,NA,6,8,1,3,3,3,2,2,1,3,1,2,1,NA,1,1,1,1,1,1,2,1,3,1,2,3,2,2,1,1,WANTED TO MAKE A LIFETIME COMMITMENT TO EACH OTHER,10,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,28,1,2,1,2,1,PROTECTING THEM FROM THE NEGATIVE ASPECTS OR THE WIDER CULTURE,35,NA,NA,8,2,2,1,1,BECAUSE THE GIRLS DO NOT FEEL SUFFICIENT LOVE FROM THEIR OWN PARENTS SO THAT SOMEONE IN THE WORLD CAN LOVE THE GIRL,25,NA,NA,2,3,NA,1,1,1,1,1,3,3,2,2,1,1,2,3,13,NA,1,1,1,NA,1,46,7,2,1,1,NA,2,2,6,1,1,2,NA,5,1,7,7,1,1,1,                                ,                                ,                                ,3,2,1,1,3,1,2,99,3,5,4,1,9.8125
314,563,21807,757,e,3,51,51199,47260,S,2,2,1,1,1,1,2,NA,NA,NA,NA,2,1,NA,2,NA,1,1,1,NA,NA,1,1,1,1,10,NA,NA,NA,8,9,9,7,8,1,3,3,3,2,2,3,3,3,3,1,1,NA,2,1,1,1,2,3,2,3,2,1,3,1,2,2,1,BECAUSE IT SIGNIFIED A LONG TERM LIFETIME COMMITTMENT,10,NA,NA,1,FINANCIAL REASONS,11,NA,NA,2,NA,NA,NA,25,NA,3,2,3,2,1,MAKING THEM VALUABLE OR WORTHWHILE PEOPLE,12,NA,NA,NA,3,3,1,1,PREMARITAL SEX,11,NA,NA,4,3,3,2,NA,2,1,1,3,1,1,1,1,1,1,3,NA,NA,1,1,1,NA,2,27,7,2,1,1,NA,2,6,8,1,1,2,NA,4,1,3,3,2,NA,2,                                ,                                ,                                ,3,1,1,1,2,1,1,1,3,5,4,1,12.9375
315,567,21807,603,e,1,33,33005,0,R,3,1,1,6,1,2,2,1,NA,NA,NA,2,1,NA,2,NA,2,NA,2,1,NA,1,1,1,2,10,NA,10,NA,8,9,9,10,9,1,1,3,3,2,2,1,1,1,3,1,1,NA,2,2,1,1,2,2,2,2,1,1,1,3,2,2,1,CUZ WE WANTED TO HAVE A FAMILY,20,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,1,1,1,"TIME, TIME MANAGEMENT",15,NA,NA,8,2,2,1,1,THEY''RE NOT TAKIN RESPONSIBLITY FOR THEIR ACTIONS,22,NA,NA,4,3,3,2,NA,3,1,1,3,3,2,1,1,1,1,3,99,2,1,1,2,105,2,35,6,2,1,2,NA,2,2,6,1,1,1,NA,2,1,7,7,1,1,1,JAPAN,                                ,                                ,6,2,1,1,1,1,2,99,2,2,4,1,5.4375
316,568,21807,813,e,3,12,12057,45300,S,2,2,1,4,2,1,NA,NA,NA,NA,NA,1,5,NA,1,1,2,NA,3,NA,2,2,2,3,1,NA,NA,NA,10,NA,NA,NA,8,7,NA,2,3,3,2,2,2,3,1,3,1,NA,1,3,2,1,1,1,3,2,3,1,1,2,2,2,2,1,I WAS IN LOVE WITH MY WIFE,16,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,2,2,2,2,9,,99,NA,NA,8,3,3,1,9,,99,NA,NA,2,2,NA,4,4,2,1,1,1,3,3,NA,1,1,2,3,NA,NA,1,1,1,NA,1,66,3,2,2,2,NA,2,5,4,1,1,1,NA,2,1,7,1,2,NA,2,                                ,                                ,                                ,1,4,2,4,3,1,1,2,4,3,2,2,14.75
317,571,21807,937,e,2,39,39109,19380,S,2,1,1,3,1,1,1,NA,NA,NA,NA,1,1,NA,2,NA,1,1,1,NA,NA,1,1,1,1,10,NA,NA,NA,8,10,10,10,8,1,2,3,3,2,3,3,3,3,3,1,1,NA,2,2,1,1,2,2,2,3,1,1,2,1,2,2,1,SOULMATE,16,NA,NA,1,PART OF THE RELATIONSHIP,98,NA,NA,2,NA,NA,NA,25,NA,2,2,2,2,1,HAVING TIME TO SPEND WITH THEM IT''S ALL ABOUT WORK!,15,NA,NA,NA,3,3,1,1,NO COMMITMENTS,24,NA,NA,4,3,4,2,NA,2,1,1,3,3,3,1,1,1,2,2,NA,NA,1,1,1,NA,1,41,3,2,1,8,NA,NA,4,7,1,1,3,9,4,1,7,7,1,1,2,                                ,                                ,                                ,4,2,1,1,3,1,2,99,2,5,2,1,19.13
318,572,21807,561,e,3,12,12099,33100,S,2,1,1,3,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,2,1,NA,2,2,3,2,10,NA,10,NA,NA,NA,NA,10,7,3,3,3,1,3,3,3,1,1,3,9,NA,1,4,4,3,1,2,3,1,3,2,2,3,2,2,2,9,                                ,99,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,3,2,1,2,1,THEY GROW UP TO FAST,38,NA,NA,8,9,3,1,1,LACK OF EDUCATION AND PARENTAL SUPERVISION AND PROMISCUITY,23,25,11,4,3,NA,2,2,1,1,1,3,3,3,1,1,1,2,2,12,2,1,1,1,NA,1,51,6,2,1,2,NA,2,2,5,1,1,2,NA,3,1,7,7,2,NA,1,                                ,                                ,                                ,3,3,2,3,3,1,2,99,3,1,4,1,12.1875
319,574,21907,301,e,3,24,24031,47900,S,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,3,NA,2,2,2,3,2,10,NA,NA,10,NA,NA,NA,5,7,1,2,2,3,3,3,3,1,3,3,1,NA,1,3,3,1,1,1,3,2,3,2,2,1,2,2,2,1,FOR YOUR CHILDREN,24,NA,NA,1,BECAUSE WE''VE BOTH MARRIED BEFORE AND IT WOULD BE EASY TO SLIT UP,15,NA,NA,2,NA,NA,NA,NA,23,2,2,2,2,1,KEEPING THEM OFF OF DRUGS AND ALCOHOL AND GIVING THEM VALUES AND SOCIAL VALUES,29,11,NA,7,3,2,2,1,WOMEN WANTING TO HAVE CHILDREN BUT NOT MARRY,12,15,NA,4,3,NA,2,2,2,1,1,1,2,3,1,1,1,2,2,NA,NA,1,1,1,NA,1,61,7,2,1,8,NA,NA,6,9,1,1,3,2,3,1,7,1,1,1,1,                                ,                                ,                                ,2,3,2,1,3,1,1,2,4,1,4,1,13.125
320,577,21807,615,c,3,47,47187,34980,S,2,1,1,6,1,2,NA,1,NA,NA,NA,2,3,NA,2,NA,2,NA,4,1,1,1,1,1,1,NA,NA,10,10,8,10,10,8,8,99,3,3,1,2,2,2,1,1,2,1,1,NA,1,1,1,1,1,1,1,3,1,1,1,2,2,3,1,BECAUSE I FELT IT IMPORTANT TO BEING IN CHURCH AND SOMETHING THAT WOULD BE FOREVER AS A COMMITMENT,13,10,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,27,NA,1,2,3,1,1,EDUCATION - FINDING A WAY TO PAY FOR UNIVERSITY AND BEYOND,14,NA,NA,10,2,2,1,1,"BECAUSE WE HAVE IT SET UP SO THAT IN TERMS OF UNEDUCATED, THE PEOPLE THAT HAVE HOUSING AND WELFARE GROW UP AND NEVER SEE A THIRD-PARTY HOME - THEY SEE IT IS ABSOLUTELY NORMAL; WITH DNA TESTING WE KNOW WHO THE FATHER IS - WE SHOULD TAKE HIS MONEY AND GIVE",23,28,NA,2,2,4,4,NA,3,1,1,3,3,1,NA,1,1,2,2,16,NA,1,1,1,NA,1,48,7,2,1,2,NA,2,2,5,1,1,3,9,9,1,7,7,1,1,2,                                ,                                ,                                ,4,2,1,99,3,1,2,99,2,5,4,1,3.75
321,578,21807,918,c,3,40,40143,46140,S,2,1,1,3,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,4,1,1,1,1,3,2,10,NA,10,99,NA,9,9,10,8,1,2,2,2,2,2,2,2,3,2,1,NA,1,1,1,3,1,2,2,2,2,1,1,2,2,1,1,1,HER MORALS  FAITH & BELIEF,13,14,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,23,2,2,2,2,1,TOO MUCH ELECTRONIC ENTERTAINMENT & PROBABLY NOT AS MUCH FAMILY TIME,36,15,NA,7,3,3,1,1,LACK OF MORALS,18,NA,NA,1,1,NA,4,4,4,1,1,2,3,3,1,1,1,2,2,13,NA,1,1,1,NA,1,47,6,2,1,1,NA,1,1,10,1,1,1,NA,1,1,7,7,2,NA,2,                                ,                                ,                                ,5,2,1,1,3,1,2,99,4,5,4,1,14.3125
322,582,21807,760,p,4,6,6073,41740,S,2,4,1,5,2,2,1,1,NA,NA,NA,1,1,NA,1,1,2,NA,2,1,NA,1,1,1,1,10,NA,10,NA,10,10,10,10,10,99,3,3,3,2,3,2,3,3,2,1,NA,1,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,BECAUSE OF THE MORAL COMMITMENT THAT I WANTED TO MAKE TO MY PARTNER,10,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,9,2,2,2,1,FINDING GOOD INCOME,13,NA,NA,8,3,3,1,1,BECUASE CHILDREN DONT GET THE WELL ROUNDED RELATIONSHIP EDUCATION THEY NEED GROWING UP THEY DONT GET THE SUPPORT OF THE SECOND PARENT HELPING RAISE THE KID NOT FINANCIALLY BUT EMOTIONALLY,23,98,NA,9,1,NA,4,4,3,1,1,3,3,1,1,1,1,1,3,4,1,1,1,1,NA,1,48,3,2,1,1,NA,1,3,8,1,1,3,9,9,1,7,7,1,1,1,                                ,                                ,                                ,7,2,1,99,3,1,2,99,3,3,2,1,1.0625
323,584,21807,650,p,4,6,6081,41860,U,1,4,1,3,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,1,NA,NA,1,1,1,2,10,NA,NA,NA,7,8,8,6,7,NA,1,2,3,2,2,2,3,1,3,1,NA,1,4,1,2,1,1,3,2,3,1,2,3,2,1,1,1,I WANTED TO HAVBE CHILDREN,20,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,2,3,2,3,1,MORALS,11,NA,NA,NA,3,1,1,1,LACK OF MORALS,18,NA,NA,1,1,NA,4,4,2,1,1,3,3,1,1,1,1,2,2,NA,NA,1,1,1,NA,1,35,3,2,4,9,2,NA,5,10,1,1,9,9,2,1,7,7,2,NA,1,                                ,NATIVE AMERICAN,                                ,1,2,1,1,3,1,2,99,4,1,2,4,7.5
324,586,21907,717,e,1,42,42057,0,R,3,1,1,1,2,1,NA,NA,NA,NA,NA,2,5,NA,2,NA,2,NA,3,NA,2,1,1,1,2,NA,NA,NA,10,9,10,10,9,10,4,2,2,2,2,1,2,3,3,2,1,NA,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,ITS THE BIBLICAL THING TODO,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,2,2,1,1,1,TEENAGERS,98,NA,NA,10,2,2,1,1,THEY ARENT GIVING RESPONSIBITY AND THEY THINK THEY CAN HAVE KIDS AND THEIR PARENTS WILL RAISE THEM,22,NA,NA,1,1,NA,4,4,4,1,1,3,3,2,NA,1,1,2,1,NA,NA,1,1,1,NA,1,40,6,2,1,1,NA,1,1,5,1,1,1,NA,2,1,7,7,1,1,2,                                ,                                ,                                ,6,2,1,4,3,1,2,99,1,5,4,1,12.25
325,589,21807,317,e,2,18,18097,26900,U,1,2,1,5,1,2,1,1,NA,NA,NA,1,1,NA,2,NA,2,NA,2,1,NA,1,1,1,1,10,NA,10,NA,6,9,9,7,7,1,2,3,2,2,2,2,3,2,2,1,1,NA,1,1,1,1,2,1,3,3,2,2,2,2,1,1,1,BECAUSE WE BELIEVE OUR FAITH WOULD HAVE US COMMANDED TO MARRY,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,99,NA,3,2,3,2,1,MEDIA INFLUENCE,36,NA,NA,8,3,2,1,1,LACK OF COMMITMENT AND FAITH,24,18,NA,1,2,4,4,NA,4,1,1,3,3,2,1,1,1,2,2,8,1,1,1,1,NA,1,42,6,2,1,1,NA,1,1,9,1,1,1,NA,1,1,7,7,1,1,1,                                ,                                ,                                ,4,2,1,1,3,1,2,99,5,3,4,1,4.625
326,590,22007,775,p,4,32,32023,0,R,3,1,1,4,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,3,NA,2,2,2,3,2,10,NA,NA,10,NA,NA,NA,10,5,1,2,3,2,2,2,3,2,1,2,1,NA,1,1,1,3,1,2,3,3,3,1,2,2,2,2,2,1,GIRLS GOT MARRIED BEFORE TO HAVE SEX,14,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2,2,2,1,EDUCATION,14,NA,NA,7,2,3,1,1,LACK OF EDUCATION PARERTIAL CONTROL SOCIAL ECONOMIC,23,25,17,2,1,NA,3,2,1,2,2,1,3,3,2,1,1,2,1,NA,NA,1,1,1,NA,1,55,6,2,1,2,NA,2,4,4,1,1,2,NA,1,1,7,2,1,1,1,                                ,                                ,                                ,3,3,2,1,3,2,1,3,1,2,4,1,9.125
327,591,21807,603,e,1,33,33009,0,R,3,1,1,5,1,2,NA,1,NA,NA,NA,2,6,NA,NA,NA,1,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,10,10,10,10,8,7,3,3,3,3,3,3,3,3,3,2,1,NA,3,3,1,1,1,3,1,3,2,1,3,1,2,2,NA,                                ,NA,NA,NA,1,BECAUSE I WANTED TO BE BY MYSELF,98,NA,NA,2,1,NA,1,30,NA,3,2,1,3,1,BALANCING WORK AND BEING AT HOME,16,NA,NA,NA,2,2,1,1,WOMAN DONT FEEL THEY NEED A MAN TO HELP THEM RAISE A CHILD,12,NA,NA,4,3,2,1,NA,1,1,1,3,3,1,NA,1,1,2,1,NA,NA,2,1,1,NA,1,27,7,2,1,2,NA,2,2,2,2,NA,3,2,5,1,7,7,1,1,1,                                ,                                ,                                ,4,1,1,7,3,1,2,99,1,3,4,1,7.5
328,594,21807,407,e,3,12,12095,36740,S,2,4,1,2,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,1,1,4,1,1,1,2,3,3,10,NA,10,10,NA,10,NA,5,8,1,2,3,3,3,2,1,1,3,3,1,NA,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,BECAUSE WE KNEW WE WERE RIGHT FOR EACH OTHER,16,NA,NA,1,ECONOMICS,11,NA,NA,1,NA,NA,NA,NA,99,3,2,2,2,1,THEIR PEER PRESSURE,32,NA,NA,7,3,3,1,1,THE WERNT BROUGHT UP RIGHT,18,NA,NA,4,3,NA,2,2,3,1,1,1,3,1,3,1,1,2,2,14,NA,2,1,1,NA,1,49,5,2,1,1,NA,2,4,3,1,1,2,NA,3,1,7,1,1,1,1,                                ,                                ,                                ,4,2,1,1,3,1,1,2,4,3,3,1,2.8125
329,595,22207,513,e,2,39,39061,17140,U,1,2,1,4,1,1,2,NA,NA,NA,NA,2,1,NA,1,2,2,NA,3,NA,2,2,2,3,2,10,NA,NA,10,NA,NA,NA,9,5,1,3,3,2,2,2,2,2,1,2,1,1,NA,1,1,1,1,2,1,2,3,2,2,2,2,1,3,1,DONT BELIVE IN THAT,15,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,21,NA,2,2,2,2,1, STABLE FAMILY RELATION,37,NA,NA,8,3,1,1,1,NO GUIDANCE,25,NA,NA,1,1,3,3,NA,2,1,1,1,3,1,3,2,1,1,2,NA,NA,2,1,1,NA,1,58,3,2,1,1,NA,1,1,2,1,1,2,NA,3,1,7,7,1,1,2,                                ,                                ,                                ,3,3,2,1,3,1,2,99,5,4,2,1,13.0625
330,597,30507,478,e,3,13,13175,0,R,3,3,1,4,1,1,NA,NA,NA,NA,NA,2,5,NA,1,1,1,NA,3,NA,2,2,2,3,2,NA,NA,NA,7,NA,NA,NA,10,10,8,2,3,1,2,2,2,1,1,3,1,1,NA,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,IT WAS THE UNTHINKABLE TO LIVE TOGETHER,15,NA,NA,1,I WAS DOING AN ANUITY FOR MY HUSBAND THAT DIED,98,NA,NA,2,NA,NA,NA,25,NA,2,2,3,2,1,RAISING THEM W GOOD MORALS,11,NA,NA,10,3,3,1,1,"MORALS, PEOPLE ARE TRYING TO KEEP UP W EVERYBODY ELSE",18,NA,NA,3,1,2,3,NA,4,2,2,1,3,3,NA,1,1,2,3,NA,NA,2,1,1,NA,1,65,3,2,1,1,NA,1,2,5,1,1,1,NA,3,1,7,7,1,1,2,                                ,                                ,                                ,2,4,2,8,3,2,2,99,1,4,2,1,2.25
331,598,30407,904,e,3,12,12031,27260,U,1,2,1,5,2,1,1,2,1,1,NA,1,1,NA,1,1,1,3,3,NA,1,2,1,2,4,5,NA,NA,10,4,NA,10,5,0,99,1,9,1,1,1,1,1,1,1,1,NA,1,4,4,1,2,3,1,2,3,2,1,1,3,2,2,1,SEEMED LIKE A GOOD IDEA AT THE TIME,21,NA,NA,1,IT WAS A GOOD IDEA AT THE TIME,17,NA,NA,1,NA,NA,NA,NA,50,3,2,3,3,1,THE INTERNET,36,NA,NA,10,1,3,3,1,LACK OF OPPORTUNITY,98,NA,NA,4,4,NA,3,3,2,1,1,1,2,3,1,1,1,2,3,NA,NA,1,1,1,NA,1,56,5,2,1,1,NA,1,1,6,1,1,4,2,3,1,7,7,1,1,1,                                ,                                ,                                ,2,3,2,99,3,1,2,99,4,4,3,1,13.1875
332,599,21807,419,e,2,39,39173,45780,S,2,1,1,2,1,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA,2,NA,3,NA,2,2,2,3,1,NA,NA,NA,10,NA,NA,NA,10,10,9,1,1,3,1,2,3,3,1,3,2,1,NA,2,4,1,1,2,1,1,3,1,1,3,2,9,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,2,NA,2,30,NA,3,2,3,2,1,KEEPING THEM OUT OF DRUGS AND TROUBLE,29,33,NA,6,1,1,1,1,SOME YOUNG GIRLS HAVE TOO MUCH FREEDOM,25,NA,NA,4,3,2,9,NA,1,1,1,1,3,1,NA,1,1,2,2,NA,NA,1,1,1,NA,1,64,3,2,1,1,NA,2,2,5,1,1,1,NA,9,1,7,7,1,1,2,                                ,                                ,                                ,3,3,2,9,3,1,2,99,2,4,2,1,13
333,600,21807,478,e,3,13,13175,0,R,3,3,1,4,2,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA,2,NA,4,1,2,1,2,2,3,NA,NA,10,10,8,10,NA,8,8,99,2,9,9,2,2,9,9,3,2,1,NA,9,9,1,4,1,1,1,1,1,1,1,9,2,1,9,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,9,NA,9,NA,45,2,2,2,2,1,TO ME IT IS FINANCIALLY AND THE ENVIRONMENT THE WAY THING S ARE IN THE WORLD,13,34,NA,7,2,2,1,1,BECAUSE THEIR FAMILY ENVIRONMENT,32,NA,NA,1,1,NA,9,1,9,1,1,3,3,2,NA,4,5,NA,NA,7,2,2,1,1,NA,1,38,2,2,2,1,NA,9,1,2,1,1,2,NA,3,2,7,7,1,1,1,                                ,                                ,                                ,3,2,1,99,3,1,2,99,1,4,1,2,4.0625
334,602,21807,540,e,3,51,51069,49020,S,2,1,1,5,2,2,2,1,NA,NA,NA,2,1,NA,1,1,2,NA,3,NA,2,2,2,1,1,9,NA,NA,9,7,NA,NA,2,8,1,1,3,3,2,2,1,1,1,2,1,NA,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,1,BECAUSE YOU ARE NOT SUPPOSED TO LIVE TOGETHER YOU ARE SUPPOSED TO BE MARRIED.,15,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,2,2,1,2,1,THE SOCIAL ENVIRONMENT OF WHAT OUR CHILDREN DEAL WITH IN SCHOOLS AND CITIES-ITS NOT SAFE LIKE IT USED TO BE.,34,31,NA,7,1,1,1,1,THE ENVIRONMENT-EVERYTHING IN SOCIETY HAS CHANGED-MORE DANGEROUS,37,17,NA,1,1,NA,2,2,1,1,1,3,3,1,1,1,1,2,3,NA,NA,1,1,1,NA,1,44,5,2,1,1,NA,2,5,8,1,1,3,1,4,1,7,2,1,1,2,                                ,                                ,                                ,2,2,1,1,3,1,1,3,2,5,3,1,6.5625
335,606,22007,716,e,1,36,36013,0,R,3,1,1,3,2,1,NA,NA,NA,NA,NA,2,5,NA,2,NA,2,NA,3,NA,2,2,2,3,1,NA,NA,NA,10,NA,NA,NA,10,10,4,3,3,1,2,3,3,1,3,3,2,NA,1,4,2,1,1,2,2,2,2,1,1,2,2,2,2,1,LIVING TOGETHERE WAS AGAINST MORAL SOCIETY AT THE TIME,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2,9,2,1,I''M A RETIRED TEACHER AND I WILL HAVE TO GO WITH PEER PRESSURE,32,NA,NA,8,2,2,1,1,BECAUSE SOCIETY ACCEPTS IT NOW,17,NA,NA,3,2,NA,1,1,2,1,1,1,3,3,NA,1,1,2,2,NA,NA,1,1,1,NA,1,65,6,2,1,7,2,NA,2,4,1,1,2,NA,4,1,7,7,2,NA,1,                                ,                                ,UNITARIAN UNIVERSALIST,3,4,2,4,3,1,2,99,2,3,4,1,5.5
336,607,21807,413,e,1,25,25013,44140,U,1,4,1,2,1,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,2,2,1,2,NA,NA,NA,NA,10,NA,NA,10,10,8,9,3,3,2,3,1,1,1,2,1,1,NA,1,1,1,1,1,1,2,2,1,1,3,2,1,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,1,25,NA,9,2,2,2,1,TEACHING THEM TO MAKE WISE CHOICES,11,NA,NA,NA,3,2,1,1,"GOES BACK TO THE CHOICES AGAIN, YOUNG GIRLS NOT HAVING A SENSE OF THEIR FUTURE",20,NA,NA,3,2,2,2,NA,4,1,1,3,2,1,NA,2,4,NA,1,NA,NA,1,1,1,NA,2,48,7,2,1,1,NA,1,1,1,1,1,2,NA,4,1,7,7,1,1,1,                                ,                                ,                                ,3,2,1,8,2,1,2,99,3,1,4,1,1.25
337,608,21907,843,e,3,45,45013,0,R,3,2,1,1,2,1,NA,NA,NA,NA,NA,1,3,NA,1,NA,1,NA,3,NA,2,2,2,3,2,NA,NA,NA,0,NA,NA,NA,10,10,8,3,1,3,2,2,2,2,1,2,1,NA,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,BECOUSE THAT WAS THE RIGHT THING TO DO,14,NA,NA,1,WELL I WAS YOUNG AND FOOLISH,14,NA,NA,1,NA,NA,NA,NA,23,2,2,2,2,1,KEEPING THEM FOCUSED AND TRYING TO EDUCATE THEM,33,14,NA,10,9,3,1,1,IS BECOUSE OF POOR EDUCATION WE ARE NOT EDUCATING ARE YOUNG WEMON THE WAY WE SHOULD BABIES ARE HAVING BABIES,23,20,NA,1,1,NA,4,3,2,2,2,1,3,3,NA,1,1,2,1,NA,NA,1,1,1,NA,1,75,7,2,2,1,NA,1,1,4,1,1,2,NA,4,1,1,1,1,2,2,                                ,                                ,                                ,2,4,2,8,3,2,1,1,2,4,4,2,4.1875
338,609,21807,478,e,3,13,13303,0,R,3,3,1,1,1,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,8,10,10,9,10,99,3,2,2,1,2,1,3,1,3,1,1,NA,3,3,1,1,1,2,1,2,1,2,1,1,1,2,NA,                                ,NA,NA,NA,1,HAD A LOT IN COMMON AND WE HAD A GOOD TIME,26,NA,NA,2,1,NA,3,28,NA,3,3,3,3,1,FINANCIAL SUPPORT,13,NA,NA,NA,1,1,1,1,BECAUSE YOUNGER GIRLS ARE MAKING DUMB MISTAKES,20,NA,NA,4,4,2,1,NA,2,1,1,3,1,1,NA,1,1,2,1,NA,NA,2,1,1,NA,1,20,5,2,2,1,NA,1,4,6,1,1,2,NA,4,2,7,7,1,1,1,                                ,                                ,                                ,4,1,1,99,3,1,2,99,1,3,3,2,4.625
339,612,21807,215,e,1,42,42101,37980,U,1,6,1,1,2,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA,2,NA,2,1,NA,1,1,3,2,NA,NA,10,NA,NA,9,5,8,6,3,2,2,3,2,2,3,1,3,2,2,NA,2,2,3,1,1,3,1,1,2,1,1,2,1,2,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,1,NA,30,3,3,2,3,1,TRYING TO RAISE THEM AND WORK AND KEEP INCOME COMING IN,16,NA,NA,8,2,2,2,9,                                ,99,NA,NA,3,3,NA,1,2,2,1,1,3,3,1,NA,2,5,NA,1,2,2,3,1,1,NA,1,21,5,2,2,8,NA,NA,5,3,1,2,2,NA,4,1,7,7,1,1,2,                                ,                                ,                                ,2,1,1,3,3,1,2,99,5,1,3,2,3.9375
